date,temperaturemin,temperaturemax,precipitation,snowfall
2007-01-09,30,55,0,0
2007-01-22,33.1,41,0.08,0
2007-01-27,32,64,0,0
2007-01-30,24.1,48.9,0,0
2007-02-08,27,48,0,0
2007-02-13,37.9,50,0.59,0
2007-02-17,19,48,0,0
2007-02-21,50,73,0.01,0
2007-02-23,37,55,0,0
2007-02-28,37.9,61,0,0
2007-03-17,33.1,48.9,0,0
2007-04-15,42.1,77,1.76,0
2007-04-17,46.9,72,0,0
2007-04-18,42.1,66.9,0,0
2007-04-21,39.9,77,0,0
2007-04-25,61,87.1,0,0
2007-04-29,53.1,80.1,0,0
2007-05-10,63,82.9,0,0
2007-06-08,73,96.1,0,0
2007-06-10,69.1,87.1,0,0
